stem,image_path,label_path,num_boxes,avg_confidence,IoU,Precision,Recall,F1,TP,FP,FN,num_pred_boxes,num_gt_boxes
rgb_16268,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16268.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16268.txt,1,0.6654370427131653,0.9444830502176771,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16277,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16277.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16277.txt,1,0.6849220395088196,0.9644584026901076,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16350,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16350.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16350.txt,1,0.5914744138717651,0.9650849136544737,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16365,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16365.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16365.txt,1,0.6766632199287415,0.9749078986527645,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16366,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16366.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16366.txt,1,0.726478099822998,0.978723264700293,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16367,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16367.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16367.txt,1,0.7192246913909912,0.9609396264974253,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16368,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16368.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16368.txt,1,0.5678355097770691,0.9562562163992555,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16369,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16369.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16369.txt,1,0.6044450402259827,0.9549829023646789,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16373,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16373.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16373.txt,1,0.5121252536773682,0.9665214282247802,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16375,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16375.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16375.txt,1,0.6041691899299622,0.9486689434183572,1.0,1.0,1.0,1.0,0.0,0.0,1,1
rgb_16376,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/images/train/rgb_16376.png,/Users/peter/Documents/MDS_UBC/My Projects/Grounded_SAM/Labeling/dataset/gate_dataset/labels/train/rgb_16376.txt,1,0.48576050996780396,0.9556941317690301,1.0,1.0,1.0,1.0,0.0,0.0,1,1
